,x,y,z,uuid,label
48,-0.867234,-0.092772,-0.489181,8E78D00D-4EE2-462B-AEAC-CA88B97566B1,banked-left
49,-0.884024,-0.048499,-0.46492,208481BD-3A30-426A-9A93-50E11A556594,banked-left
50,-0.79428,-0.083964,-0.601722,A63CE4D5-FA75-48B2-80FC-D25CCA638339,banked-left
51,-0.874734,-0.037076,-0.483183,21ACEB6E-2CBD-4E5D-981A-94C361BC945C,banked-left
52,-0.831248,0.020895,-0.555508,F0E5FA0F-CF38-4F3A-A177-F756D70F0824,banked-left
53,-0.788036,-0.009118,-0.615562,60ACB734-FEF4-4E94-B216-BF6A1C813FC9,banked-left
54,-0.863539,-0.044162,-0.502345,BCDA0DC8-EEBB-4396-9A28-92FF47E82AE9,banked-left
55,-0.841328,-0.024621,-0.539964,035F0B77-2784-4B8B-A5B5-69A70B3E3A9F,banked-left
56,-0.869821,-0.064027,-0.489196,F1F28B98-6277-45A4-9D68-E70BAE4D9F83,banked-left
57,-0.831292,-0.000359,-0.555836,5877A4B8-9215-44FD-9FC9-1D3E1D3BF87D,banked-left
58,-0.895792,-0.061972,-0.440131,58A25BEA-791A-4DE9-B6FE-4B6234A96C27,banked-left
59,-0.880429,-0.0435,-0.472179,AA245747-5012-4BD3-A087-4AA2F8B9BABE,banked-left
60,-0.830808,0.021648,-0.556137,FEEA4EFC-BBC3-4F70-A5E7-EF622E528F1E,banked-left
61,-0.884117,-0.069912,-0.462006,8E39FA19-40FD-462C-A323-87931A9749BE,banked-left
62,-0.885531,-0.051453,-0.461722,EFF8DD74-669A-4DBA-BD58-8233729D636A,banked-left
63,-0.879191,-0.064247,-0.472119,D9CE86A2-E97D-478F-8CB7-580060B09F64,banked-left
64,-0.880914,-0.071435,-0.467855,139E25E6-5D51-4E22-80E2-DC9AF688CAF1,banked-left
65,-0.891584,-0.077631,-0.446152,7B414F8F-FF7E-42B9-A053-EB7E33D1EFEF,banked-left
66,-0.894067,-0.080542,-0.440632,058950F0-C51A-40CF-AFA4-0D999A523D3A,banked-left
67,-0.890883,-0.052355,-0.451205,FEAED1E7-8E7B-48EA-A5C4-825F5FEE04F5,banked-left
68,-0.873023,-0.063881,-0.483477,4607C3B2-FC7B-443B-B22D-D2C5594BE617,banked-left
69,-0.871265,-0.061322,-0.486966,3EAF2BDA-8D17-418A-9D8A-2E1C600E4A5C,banked-left
70,-0.882309,-0.078238,-0.464123,05E70ACC-5AC0-4EC5-91C3-353E5277E26B,banked-left
71,-0.891593,-0.044622,-0.450634,AECDA3D2-E770-416D-B885-3610A20B819C,banked-left
72,-0.881512,-0.044443,-0.470065,DE967743-DB30-4008-BE9C-E9AFAB06E950,banked-left
73,-0.880254,-0.031004,-0.473489,6AC36FFB-7F4B-412E-98E8-1951FCD95AD7,banked-left
74,-0.88371,-0.049802,-0.465377,5A3B1D0D-87A0-4E9E-AF77-14CA60E00597,banked-left
75,-0.889315,-0.034578,-0.455986,0A19765B-064E-43B2-B3AD-A3DED93EA0E2,banked-left
76,-0.842092,-0.041105,-0.537765,41DF1671-1EC6-4B87-94F1-929CFBBC6534,banked-left
77,-0.796165,-0.007754,-0.605031,FEC9E6A6-C5D4-4165-AA1B-0AC91865BE74,banked-left
78,-0.79399,-0.037366,-0.606782,ADA5C3AD-7319-4D85-A13B-448E949A3741,banked-left
79,-0.775604,0.021811,-0.630843,C8470233-F572-4BB2-8278-D6C407891D72,banked-left
80,-0.808614,0.06755,-0.584449,8D524352-A2D7-4B87-A918-4D0540AB9820,banked-left
81,-0.715263,0.094307,-0.692463,D7319138-A9B0-4EFE-BD8C-D9E3C3277184,banked-left
82,-0.883714,-0.0196,-0.467618,CFA2EFF2-5EFC-4E2B-BF62-D733D1CB3092,banked-left
83,-0.869919,-0.053069,-0.490331,265C36B7-CD46-4472-A86C-590984AA1554,banked-left
84,-0.864685,-0.002435,-0.502309,3B09B2C4-1C79-4115-9F6A-D2E74D9B1B0F,banked-left
85,-0.842881,0.003263,-0.53809,4CFB32B3-47FC-4913-A56C-D2E2A4621B3B,banked-left
86,-0.818908,-0.004452,-0.573908,216502D1-97F4-4468-B654-AC4AC68EEB04,banked-left
87,-0.812154,-0.02654,-0.58284,664F9D75-1D14-480C-ACEF-D63AD7D2ACE3,banked-left
88,-0.825792,-0.034855,-0.562897,C5AF6C59-D02C-4535-B3D2-2747EDCD0F79,banked-left
89,-0.88314,-0.024638,-0.468461,8970C3E4-D5FE-4847-90B8-BB0A342B876F,banked-left
90,-0.831994,0.002924,-0.554778,CE072003-D3B9-45C5-BB55-7EADB44937F6,banked-left
91,-0.871086,0.05815,-0.487676,C5FEF542-C38F-4245-AE86-E33139107F90,banked-left
92,-0.858099,0.02079,-0.513063,E3638C78-F103-4312-A863-11A845E8898B,banked-left
93,-0.765116,0.036205,-0.642874,01184DF0-8C40-4DE0-8C42-D80C4F752461,banked-left
94,-0.886273,-0.020134,-0.462725,88D025F0-2D6B-46B9-90F2-D333C0AAA7FA,banked-left
95,-0.867483,0.068731,-0.492696,05DA6550-932F-4B97-9263-4C201C3D6A92,banked-left
96,-0.878049,0.031462,-0.477536,4382ED4E-D140-4E53-BA81-8BA8C0A11D2A,banked-left
97,-0.861246,0.034756,-0.506999,349CAF90-08B5-44CC-A88A-153EA991F13E,banked-left
98,-0.89783,0.032946,-0.439109,8EC281A6-2D21-4ABA-B4D7-2BC07CFD00B0,banked-left
99,-0.884104,0.073708,-0.46144,166099D0-6A70-48E2-A6B6-F1983046E692,banked-left
100,-0.77273,0.018334,-0.63447,B57E1AF4-E482-40BB-8D7E-5D2293B6DDAB,banked-left
101,-0.904231,0.060448,-0.422744,1A4A2EE6-E113-4490-A731-8567C6AFAB97,banked-left
102,-0.902169,0.05792,-0.427478,7A0FA116-F08A-4DD2-9101-FF772E8C12BC,banked-left
103,-0.887249,0.104745,-0.449242,B636D8A7-CB6E-47D5-A494-A222176084D9,banked-left
104,-0.87892,0.118678,-0.461969,024C7E48-CC84-41A9-80A0-18DE54BF4696,banked-left
105,-0.885349,0.1,-0.454046,0F6111B1-26C1-4741-BF35-BB29D65AC23C,banked-left
106,-0.908559,0.156649,-0.387274,6EFF00CA-1500-48CF-BE3E-5EDC5C4D5F4F,banked-left
107,-0.905579,0.107806,-0.41025,9243CD3C-5A6C-4A86-BEB9-D0970A2BBF32,banked-left
108,-0.906398,0.096816,-0.41118,A6C19680-6CB5-44C7-917B-C3F93E073852,banked-left
109,-0.916699,0.087969,-0.389775,3144C072-DE13-4BBC-BF6E-10CA44776BF0,banked-left
110,-0.920273,0.058688,-0.38685,2A70BF24-72CC-4E2B-8E74-479C596B56F8,banked-left
111,-0.914875,0.141883,-0.377987,AB5DA231-3B7D-43DB-B571-DABEB229305C,banked-left
112,-0.805182,-0.012013,-0.592907,EFB6A60D-B577-4D7E-A1B9-B5DB29A99D7A,banked-left
113,-0.794407,0.034954,-0.606379,DA3D9D95-6C9F-46F3-ADB5-EED3C694744A,banked-left
114,-0.800476,0.033106,-0.59845,C18E70B1-C28D-4803-A492-5D19BB13BC2A,banked-left
115,-0.810784,-0.019599,-0.585017,5CDE26D3-C44B-4DB7-B9CA-9287C9017FC4,banked-left
116,-0.823308,-0.086232,-0.561006,7A7CC393-F1F9-44B9-9EEB-1C028F4DEB03,banked-left
117,-0.795851,-0.064928,-0.602001,4894FD24-67C6-4B4E-9A26-B4C75A27E0C0,banked-left
118,-0.791788,-0.013147,-0.610654,374B025E-912D-41AE-B4EB-DEE99C90448D,banked-left
119,-0.835378,-0.012706,-0.549528,8B4DB731-35AA-4A64-886E-D374706A351D,banked-left
120,-0.834942,-0.013301,-0.550178,F268AD47-B0F3-429B-8488-2EE1B67CB62E,banked-left
121,-0.913835,-0.004174,-0.406065,7012012D-451C-4FB3-B695-6FCCC25772C5,banked-left
122,-0.763835,0.007346,-0.64537,E226F76C-29F3-43FB-927D-38B4495DE2E6,banked-left
123,-0.914597,-0.009383,-0.404258,3992F471-9AD3-4F25-99C2-2272B714ECAA,banked-left
124,-0.776763,0.040757,-0.628473,C81C4442-62D9-42B9-B2AC-50B11CB22083,banked-left
125,-0.925463,0.004448,-0.378811,384900FA-7110-451E-80EE-9FB4DB3F191B,banked-left
126,-0.704325,-0.00295,-0.709872,A053E469-9017-42DC-BD97-FCD342722AE7,banked-left
127,-0.772815,-0.118737,-0.623425,5686CEA3-DFE5-43CD-9000-723B41CCCC0A,banked-left
128,-0.912862,0.013174,-0.408057,9C891F2F-0AB3-4A90-885E-25D67E758F40,banked-left
129,-0.918695,0.030999,-0.393749,70BC7C6D-596C-4B40-BBB3-ACEC043CAADA,banked-left
130,-0.711111,-0.06055,-0.700468,7113A9F6-7008-45CC-A0FC-563A5B464567,banked-left
131,-0.813202,0.049867,-0.579841,CCDA3F20-45A3-4BB2-9801-DBA0C4865E8D,banked-left
132,-0.930007,0.019988,-0.366999,E904E7DE-4501-4158-A41F-84131C704B7D,banked-left
133,-0.912391,0.024634,-0.408579,03F2B108-4CDB-428A-8E53-0252BBD1DB81,banked-left
134,-0.773706,0.06942,-0.62973,CD543ABF-D41F-4BCB-A806-DA43BCC19EDC,banked-left
135,-0.926983,0.01247,-0.374897,7BE2DF00-F396-4628-BB9C-14BDE689CDF7,banked-left
136,-0.752025,0.065691,-0.655853,47835B66-F218-4073-9060-F41F1756D4D9,banked-left
137,-0.747218,0.054747,-0.66232,3FFF42FE-5C16-4A2E-97E5-4DCA492F6395,banked-left
138,-0.74439,0.080802,-0.662838,D91EFAC4-6DE5-473A-8446-DD8516FC8E51,banked-left
139,-0.789225,0.067448,-0.610388,2FD1AE9E-96DE-4C2F-BD40-31B57B64A2DC,banked-left
140,-0.76558,-0.04268,-0.641923,D6D3B635-C900-41A7-9357-95CC2AFC118E,banked-left
141,-0.727941,0.074818,-0.681545,2964CFF7-E6C9-416D-9B12-F08FD0875C4B,banked-left
142,-0.787992,0.06663,-0.61207,902F29E9-B6E6-4357-8956-A9070526D8AA,banked-left
143,-0.812415,0.044209,-0.581401,3381D809-6E7C-471A-83E5-D941C13FCB6B,banked-left
144,-0.777566,0.083428,-0.623242,D19738CC-2B1B-4396-94A1-B0F0382F11CE,banked-left
145,-0.762214,0.012674,-0.647201,6F915F1D-17E1-4B56-A54E-8375D431D0D9,banked-left
146,-0.835195,0.05274,-0.54742,95984D52-8AA9-4A5C-85F1-4C60E017F913,banked-left
147,-0.853982,0.0005,-0.520302,B0CAC322-7707-4039-85B7-FAD20608A662,banked-left
148,-0.721129,-0.032983,-0.692016,EFA780A2-0F41-417F-BE67-E2409388F098,banked-left
149,-0.878596,0.063631,-0.473308,0018079B-D6FD-4F65-9CF6-0FFD517AC0F2,banked-left
150,-0.753549,-0.029219,-0.656742,56513256-04B7-4BAB-9D15-7270585FF734,banked-left
151,-0.7734,0.072887,-0.629714,2A95A58C-2F0A-4A46-A541-87EBDB151526,banked-left
152,-0.891681,0.077527,-0.445976,B5720CEB-1F1F-41E8-9721-47F53707AA6C,banked-left
153,-0.882161,0.068913,-0.465879,329006A3-407A-43CE-9217-4818ADD9D160,banked-left
154,-0.89319,0.058715,-0.445829,0AC3AB6A-611F-4A7C-B34E-005388B23133,banked-left
155,-0.883639,0.093184,-0.458801,70FDD2A4-E1AC-4336-B22E-5CCF30320CC2,banked-left
156,-0.868534,0.037038,-0.494244,E80A99C8-0E27-4270-9BF2-50281FBB8797,banked-left
157,-0.880697,0.04273,-0.471748,95368BDB-21E1-40BF-B5B2-7652B662AD2E,banked-left
158,-0.880375,0.061082,-0.470328,31DF4B00-AB5C-42E3-9BA7-23FC19409D1D,banked-left
159,-0.898306,0.098069,-0.428287,492CBE93-DF81-4DA8-8C37-E9AB5D00C25B,banked-left
160,-0.899762,0.076338,-0.429652,203D00ED-B267-4F4B-8EB4-F7FE760F55CD,banked-left
161,-0.893015,0.105717,-0.437434,B047136C-6FAB-4842-95FF-EDC94C12A6E7,banked-left
162,-0.910903,0.144157,-0.386619,DD60E641-6D0E-4570-B10C-031546EC4276,banked-left
163,-0.883736,0.119099,-0.452577,EADCD07D-19A4-4EE6-A92D-6214DD0C12EF,banked-left
164,-0.891939,0.138453,-0.430436,B8023E59-3AC8-41F8-A046-F2DC9E3E3BA0,banked-left
165,-0.881845,0.134637,-0.451909,09497AFD-4B7F-495D-A8FF-7D630CC44BF6,banked-left
166,-0.848336,0.236996,-0.473455,E05735ED-C521-4A64-BEEF-B288E229A41B,banked-left
167,-0.862883,0.157949,-0.480088,1D88C328-0396-4EE2-8C2D-36ED1DF758EA,banked-left
168,-0.844902,0.16016,-0.510381,0492A624-9CFD-4A2F-84EE-9A91700D7039,banked-left
169,-0.856377,0.203781,-0.474438,987A15BF-3098-49AD-928A-505147A2D027,banked-left
170,-0.852305,0.207597,-0.480083,07D95470-9EC4-4C6A-9309-4FDA0ACDDE44,banked-left
171,-0.863687,0.149925,-0.481214,47427DBF-089B-4C1C-BE44-6C328CDD60BC,banked-left
172,-0.853554,0.14317,-0.500948,00270C03-E860-4E54-96FF-E787D61D16F0,banked-left
173,-0.855401,0.105427,-0.507124,71784C23-A3EE-4F2D-95E6-AA7C56F2263A,banked-left
174,-0.867644,0.108709,-0.485156,E31662C0-CA61-4F51-B334-53CE5C75A11D,banked-left
175,-0.777194,-0.010581,-0.629172,107C6A65-072C-4464-AC9C-A675F335F80A,banked-left
176,-0.843182,-0.019129,-0.537288,EF2B0F39-E92C-4BC6-929E-E187D54E96DD,banked-left
177,-0.830698,0.003898,-0.55671,E5AE9C35-E74A-4D83-8DEF-7E8A93DA2375,banked-left
178,-0.796108,0.004993,-0.605134,1EBA59BD-EC10-4619-9322-997DED2FD8CE,banked-left
179,-0.849496,-0.001628,-0.527592,E0CAAF17-999D-49EA-93A7-D79A4BEF4B67,banked-left
180,-0.800085,0.080866,-0.594411,FA355725-3099-4262-8DB9-A77D82617468,banked-left
181,-0.810396,0.046031,-0.584071,22F9FFCA-4DCF-4B25-814F-E3F1A836513D,banked-left
182,-0.810162,0.058961,-0.583233,13D1AAF5-30EB-4786-8FEE-C054C63F30E9,banked-left
183,-0.794345,0.039256,-0.606197,387CCDA2-05AB-4BCB-A041-2A45978AB6B4,banked-left
184,-0.683147,-0.059267,-0.727872,77972994-1FB2-4246-943B-58D01F70C5D1,banked-left
185,-0.781375,0.072376,-0.619851,2F9C9824-9015-4DC9-9478-43893015F507,banked-left
186,-0.746174,-0.095337,-0.658889,48496DCE-0201-464C-9F26-3AFAA4AE44F0,banked-left
187,-0.692738,-0.011834,-0.721092,693D7751-99F1-43B2-AB2B-663D582B6769,banked-left
188,-0.814977,0.077245,-0.574322,FF59F19A-43D8-4FE5-B10A-410685B02DA0,banked-left
189,-0.803136,0.006815,-0.595757,00C52F33-0F09-49DF-9505-916107197E42,banked-left
190,-0.809891,0.078228,-0.58134,3D120455-1B71-4D6F-A176-1C7666EE2157,banked-left
191,-0.762471,-0.053228,-0.64483,12E1E9E3-BF72-4AA7-B0AC-A1AE2AFC9932,banked-left
192,-0.794581,0.07333,-0.602713,8C637CDC-4B1A-42FE-A00D-986AE4FD8E36,banked-left
193,-0.807909,-0.107516,-0.579416,65A7F17E-3856-43EE-9F5B-5F222EB60B1A,banked-left
194,-0.789151,0.061415,-0.61112,B05B5183-89E3-4FA7-87E9-A3D74E728A9B,banked-left
195,-0.774927,0.083351,-0.62653,1FEAF499-5409-460A-8D8A-6755C310C84D,banked-left
196,-0.753203,-0.021401,-0.65744,BECDBC39-221F-4A90-B2FA-3073EC15D90E,banked-left
197,-0.788819,0.077654,-0.6097,618E80A7-5883-4C2D-ABAC-BD3D55EFEA91,banked-left
198,-0.777953,-0.005981,-0.628294,BC67883C-5F52-4657-8876-63B0D6A530E3,banked-left
199,-0.764352,0.07358,-0.640587,81739FEE-B7F9-4156-B62A-8D2A21806717,banked-left
200,-0.785413,-0.061176,-0.615942,BB7A8684-4A6E-4119-A933-F416FA403353,banked-left
201,-0.773782,-0.08001,-0.628379,43BF2F54-BF95-477C-89FA-3E8D3FA1C8AD,banked-left
202,-0.804112,-0.040369,-0.593106,1C12E14F-4D88-4830-9487-F06DD55AD800,banked-left
203,-0.801341,-0.003329,-0.598199,FE539686-0B54-4DC6-8E7D-D95484E4A82E,banked-left
204,-0.746078,-0.050896,-0.66391,4DBF84A8-B4E3-4B6F-997D-23C81D109196,banked-left
205,-0.767183,-0.072498,-0.637318,4B9BD092-82B1-4042-A734-4A390BD96591,banked-left
206,-0.798387,-0.031221,-0.601335,B6C6CBC0-12D3-4E69-B74C-FA35FB56DAA5,banked-left
207,-0.80372,0.006189,-0.594976,C7ED3B1A-A305-458F-96FD-3F5124EB1CF7,banked-left
208,-0.808164,0.010299,-0.588867,32ACD3CD-826D-4C3C-88C9-7CCAD727BA88,banked-left
209,-0.834488,-0.039893,-0.549579,A9B2F198-453C-49BD-A96A-2B5F9CA25BBE,banked-left
210,-0.839661,-0.015913,-0.542878,0BD1DBC9-5DE5-480A-9A42-73EDB021BEB6,banked-left
211,-0.828125,-0.010717,-0.560441,37448EDE-7C90-41C4-9EDB-C5A391D44E13,banked-left
212,-0.789944,-0.017077,-0.612941,22DD61C7-8E91-4E0A-A318-8AC715B6205E,banked-left
213,-0.781986,-0.087573,-0.617113,E2340AAC-FB3B-4A81-AFB0-0F1221E9CB49,banked-left
214,-0.780943,0.034638,-0.623642,8F3F51D5-0BDF-4D19-94DB-E02B9A4CF465,banked-left
215,-0.7492,-0.057996,-0.659799,88DAC500-53BC-486D-9668-E26F18FF06E0,banked-left
216,-0.914944,0.053738,-0.399987,2FD4A27C-992B-4549-9275-020425D6BCBE,banked-left
217,-0.829867,-0.013923,-0.557787,CB43643A-0301-4D6A-9D0C-DFE572BBEAD1,banked-left
218,-0.91494,0.026467,-0.40272,377DE695-8ACC-4B81-8934-3D96748C6360,banked-left
219,-0.791016,-0.078798,-0.606699,7729BCA0-72B1-4BB2-9A33-9985E07827A9,banked-left
220,-0.802138,-0.020555,-0.596785,3D55F580-1C9B-446F-B99B-2248142D711E,banked-left
221,-0.914878,0.055557,-0.39989,6297961E-79A3-4BD1-B444-F8A3E9ADC1FC,banked-left
222,-0.912567,0.065292,-0.40368,0DB6797A-9886-44CF-AD26-49D259F2B00D,banked-left
223,-0.800861,-0.063891,-0.595432,65155C15-FC39-4392-BF29-F0809E5F3E20,banked-left
224,-0.902715,0.057362,-0.426399,A37283E9-2854-4D07-A7A1-C12149D9B71A,banked-left
225,-0.804242,0.010372,-0.594211,D3C8B2E5-98C9-4857-BAE0-60AFECC4BD38,banked-left
226,-0.805202,-0.046737,-0.591155,33E09F2B-7043-494C-867C-02F9396CF24F,banked-left
227,-0.922359,0.091493,-0.375344,DBCFFBB8-4106-434F-A590-0EDC74C9CB61,banked-left
228,-0.821795,0.012057,-0.569656,58AA2D01-0A72-40A7-94B4-45305BDE2AA3,banked-left
229,-0.914237,0.074374,-0.398295,7CF22D9C-54ED-4AD6-979D-18641A2C229A,banked-left
230,-0.811338,-0.004359,-0.58456,02CBCD62-7E1F-4CE0-B1AD-4F737C4430C5,banked-left
231,-0.909875,0.096498,-0.403505,746A6B19-7782-47F0-8AAE-FC50A04B61A5,banked-left
232,-0.928107,0.060942,-0.367293,179DBC21-4EFD-467C-AE08-EC4E0AB4028E,banked-left
233,-0.809646,-0.057605,-0.584084,DE8295A2-BEC5-4926-B8B0-4D988908A555,banked-left
234,-0.828887,0.025564,-0.558832,59D996CA-6321-45AF-9E56-4616E8224414,banked-left
235,-0.910648,0.044578,-0.410771,80D0E848-927E-4248-B816-9AB5AFF9A36E,banked-left
236,-0.904578,0.051663,-0.423167,8B6BF9F9-D19D-485C-82F1-2D0CD3483749,banked-left
237,-0.787629,-0.059319,-0.613288,C0CDF0A5-10AA-4936-89FB-7EE1C7858D4F,banked-left
238,-0.81059,0.018047,-0.585336,A5555A35-3E5B-4F78-A710-0D11E51C06DB,banked-left
239,-0.902026,0.010718,-0.431549,F1C1192F-A647-482B-A251-53182ACB8820,banked-left
240,-0.701454,-0.049828,-0.710971,F3DDF5D6-A58A-40E0-A72E-E0C4E1EF0674,banked-left
241,-0.897284,0.019908,-0.441005,F5702C1C-213E-45AC-9336-6CD0A5C6C516,banked-left
242,-0.811136,-0.006038,-0.584826,09FF7A99-608B-4E6D-9D4B-83935357CF2A,banked-left
243,-0.935985,0.058538,-0.34714,7B71480F-DF2D-443F-8621-32D2D53869CF,banked-left
244,-0.835697,-0.013299,-0.54903,650751F9-611E-4435-AE57-6250D6E1F583,banked-left
245,-0.923224,0.046455,-0.381444,ADA44C0C-FC7A-4A0C-B62E-C15702B01880,banked-left
246,-0.799345,-0.008995,-0.600805,FCE9585D-2C5A-4B05-9EC1-DD6B8993AADE,banked-left
247,-0.756039,-0.056288,-0.652102,8B02A112-45C7-4801-80D6-4D5D12092C90,banked-left
248,-0.797868,0.00149,-0.602831,575D507F-F3DA-4831-B942-2C02657DC23F,banked-left
249,-0.766764,-0.030409,-0.641208,5FF351F5-53E1-4D76-92E2-F91EFF5E483F,banked-left
250,-0.814379,0.039154,-0.579011,C213D34F-4CB8-4D69-94E1-0AE6E89D3DA6,banked-left
251,-0.874059,-0.005513,-0.485788,F92393F2-4630-47F1-932F-7F0C94354362,banked-left
252,-0.926331,0.026859,-0.375751,FC2E7B53-050B-45D4-A8E0-D1D19EE7B7EE,banked-left
253,-0.89629,0.076629,-0.436797,BC28C9F4-F4A9-4169-BE14-8D9B7B08F3E6,banked-left
254,-0.906838,0.02833,-0.420527,2FD2471C-827E-4DFB-927D-E2664625DD69,banked-left
255,-0.876052,0.000787,-0.482216,A59329C6-BE1C-40A7-AB1D-C9148314CD41,banked-left
256,-0.883277,0.077506,-0.462401,30666FC9-FF10-46F0-8CAA-70C6F469F9F5,banked-left
257,-0.869812,0.102416,-0.482637,B3155C95-FB8B-42E8-AD6A-A458867EAD79,banked-left
258,-0.725062,-0.007386,-0.688644,E05C80D2-02B9-4D97-92A7-CED771260DB6,banked-left
259,-0.864549,0.099928,-0.492513,2639978C-35C3-401B-BED4-C05336482146,banked-left
260,-0.778377,-0.067075,-0.624203,BCC06199-B41B-40E2-956B-968FC3AC966A,banked-left
261,-0.82269,0.01017,-0.5684,42B3F60C-07E7-4589-B410-398C649D7C6A,banked-left
262,-0.837779,0.11342,-0.5341,B1DD8BAC-CB52-4D5D-8FE4-1A83815FC2CB,banked-left
263,-0.804757,-0.05146,-0.591369,A7A7F278-1737-4F32-98F9-3FFE9BDB4284,banked-left
264,-0.820295,-0.026568,-0.571323,91A6CB7F-6B29-4DF4-B481-B8CF9527C7CA,banked-left
